[4/15/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/16/23 06:50AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Pimpin	
[4/16/23 06:56AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Pimpin	
[4/16/23 06:59AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pimpin	
[4/16/23 07:24AM] Player picked up item: Coin, id: 995, amount: 2959944, owner: Pimpin	
[4/16/23 07:24AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Pimpin	
[4/16/23 07:30AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pimpin	
[4/16/23 07:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Pimpin	
[4/16/23 07:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/16/23 07:54AM] Player picked up item: Coin, id: 995, amount: 1702289, owner: Pimpin	
[4/16/23 07:54AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Pimpin	
[4/16/23 08:04AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Pimpin	
