[4/16/23 07:24AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Onehit90	
[4/16/23 01:24PM] Player picked up item: Coin, id: 995, amount: 3083858, owner: Onehit90	
[4/16/23 01:24PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Onehit90	
[4/16/23 01:25PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Onehit90	
[4/16/23 01:25PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Onehit90	
[4/16/23 01:54PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Onehit90	
[4/18/23 04:42AM] Player picked up item: Coin, id: 995, amount: 1288900, owner: Onehit90	
[4/18/23 04:42AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Onehit90	
[4/18/23 04:43AM] Player picked up item: Coin, id: 995, amount: 3814348, owner: Onehit90	
[4/18/23 04:43AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Onehit90	
[4/18/23 04:44AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Onehit90	
[4/18/23 04:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Onehit90	
[4/18/23 04:45AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Onehit90	
[4/18/23 04:45AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Onehit90	
[4/18/23 05:13AM] Player picked up item: Coin, id: 995, amount: 1080969, owner: Onehit90	
[4/18/23 05:13AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Onehit90	
[4/18/23 06:12AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Onehit90	
[4/18/23 06:27AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Onehit90	
[4/18/23 06:27AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Onehit90	
[4/18/23 06:28AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Onehit90	
[4/18/23 06:28AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Onehit90	
[4/18/23 08:42AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Onehit90	
[4/18/23 08:42AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Onehit90	
[4/18/23 08:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Onehit90	
[4/18/23 09:12AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Onehit90	
[4/18/23 09:42AM] Player picked up item: Coin, id: 995, amount: 2448843, owner: Onehit90	
[4/18/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Onehit90	
[4/18/23 09:42AM] Player picked up item: Coin, id: 995, amount: 2813928, owner: Onehit90	
[4/18/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Onehit90	
