[4/16/23 05:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tgaming	
[4/16/23 05:44PM] Player picked up item: Coin, id: 995, amount: 500, owner: Tgaming	
[4/16/23 05:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 05:44PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Tgaming	
[4/16/23 05:44PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Tgaming	
[4/16/23 05:51PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Tgaming	
[4/16/23 06:04PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Tgaming	
[4/16/23 06:04PM] Player picked up item: Coin, id: 995, amount: 700, owner: Tgaming	
[4/16/23 06:04PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Tgaming	
[4/16/23 06:05PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Tgaming	
[4/16/23 06:17PM] Player picked up item: Coin, id: 995, amount: 800, owner: Tgaming	
[4/16/23 06:17PM] Player picked up item: Coin, id: 995, amount: 800, owner: Tgaming	
[4/16/23 06:19PM] Player picked up item: Coin, id: 995, amount: 800, owner: Tgaming	
[4/16/23 06:20PM] Player picked up item: Coin, id: 995, amount: 800, owner: Tgaming	
[4/16/23 06:22PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Tgaming	
[4/16/23 06:22PM] Player picked up item: Coin, id: 995, amount: 2400, owner: Tgaming	
[4/16/23 06:23PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Tgaming	
[4/16/23 06:23PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tgaming	
[4/16/23 06:25PM] Player picked up item: Coin, id: 995, amount: 1772740, owner: Tgaming	
[4/16/23 06:25PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Tgaming	
[4/16/23 06:27PM] Player picked up item: Coin, id: 995, amount: 3537730, owner: Tgaming	
[4/16/23 06:27PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Tgaming	
[4/16/23 06:28PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Tgaming	
[4/16/23 06:28PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Tgaming	
[4/16/23 06:28PM] Player picked up item: Coin, id: 995, amount: 800, owner: Tgaming	
[4/16/23 06:28PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Tgaming	
[4/16/23 06:39PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Tgaming	
[4/16/23 06:40PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Tgaming	
[4/16/23 06:40PM] Player picked up item: Coin, id: 995, amount: 1800, owner: Tgaming	
[4/16/23 06:40PM] Player picked up item: Coin, id: 995, amount: 900, owner: Tgaming	
[4/16/23 06:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tgaming	
[4/16/23 06:40PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Tgaming	
[4/16/23 06:40PM] Player picked up item: Coin, id: 995, amount: 900, owner: Tgaming	
[4/16/23 06:45PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Tgaming	
[4/16/23 06:46PM] Player picked up item: Progressive Box [T1], id: 10025, amount: 1, owner: Tgaming	
[4/16/23 06:46PM] Player picked up item: PvM Casket, id: 2736, amount: 5, owner: Tgaming	
[4/16/23 06:46PM] Player picked up item: Antique lamp, id: 11137, amount: 3, owner: Tgaming	
[4/16/23 06:46PM] Player picked up item: Imperial Box, id: 14487, amount: 2, owner: Tgaming	
[4/16/23 06:46PM] Player picked up item: Super restore (4), id: 3024, amount: 1, owner: Tgaming	
[4/16/23 06:47PM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: Tgaming	
[4/16/23 06:47PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Tgaming	
[4/16/23 06:47PM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: Tgaming	
[4/16/23 06:47PM] Player picked up item: DR Potion (Godly), id: 3086, amount: 1, owner: Tgaming	
[4/16/23 06:47PM] Player picked up item: Super restore (4), id: 3024, amount: 1, owner: Tgaming	
[4/16/23 06:47PM] Player picked up item: Super restore (4), id: 3024, amount: 1, owner: Tgaming	
[4/16/23 06:47PM] Player picked up item: Super restore (4), id: 3024, amount: 1, owner: Tgaming	
[4/16/23 06:47PM] Player picked up item: Super restore (4), id: 3024, amount: 1, owner: Tgaming	
[4/16/23 06:50PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tgaming	
[4/16/23 06:51PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Tgaming	
[4/16/23 06:53PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Tgaming	
[4/16/23 06:55PM] Player picked up item: Coin, id: 995, amount: 2390108, owner: Tgaming	
[4/16/23 06:55PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Tgaming	
[4/16/23 07:22PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tgaming	
[4/16/23 07:24PM] Player picked up item: Coin, id: 995, amount: 2396891, owner: Tgaming	
[4/16/23 07:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Tgaming	
[4/16/23 07:30PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Tgaming	
[4/16/23 07:31PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Tgaming	
[4/16/23 07:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 07:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 07:49PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Tgaming	
[4/16/23 07:54PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Tgaming	
[4/16/23 07:54PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tgaming	
[4/16/23 07:54PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Tgaming	
[4/16/23 08:01PM] Player picked up item: Coin, id: 995, amount: 9000, owner: Tgaming	
[4/16/23 08:01PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Tgaming	
[4/16/23 08:01PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Tgaming	
[4/16/23 08:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 08:12PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tgaming	
[4/16/23 08:12PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tgaming	
[4/16/23 08:12PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Tgaming	
[4/16/23 08:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 08:12PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tgaming	
[4/16/23 08:12PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tgaming	
[4/16/23 08:12PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Tgaming	
[4/16/23 08:12PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tgaming	
[4/16/23 08:13PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tgaming	
[4/16/23 08:13PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tgaming	
[4/16/23 08:13PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Tgaming	
[4/16/23 08:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 08:16PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Tgaming	
[4/16/23 08:22PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Tgaming	
[4/16/23 08:22PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Tgaming	
[4/16/23 08:22PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Tgaming	
[4/16/23 08:22PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Tgaming	
[4/16/23 08:24PM] Player picked up item: Coin, id: 995, amount: 1820119, owner: Tgaming	
[4/16/23 08:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Tgaming	
[4/16/23 08:25PM] Player picked up item: Coin, id: 995, amount: 3689926, owner: Tgaming	
[4/16/23 08:25PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Tgaming	
[4/17/23 03:54PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Tgaming	
[4/17/23 03:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/17/23 03:59PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tgaming	
[4/17/23 03:59PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tgaming	
[4/17/23 03:59PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Tgaming	
[4/17/23 04:02PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Tgaming	
[4/17/23 04:07PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Tgaming	
[4/17/23 04:10PM] Player picked up item: Coin, id: 995, amount: 14000, owner: Tgaming	
[4/17/23 04:10PM] Player picked up item: Coin, id: 995, amount: 14000, owner: Tgaming	
[4/17/23 04:15PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Tgaming	
[4/17/23 04:16PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Tgaming	
[4/17/23 04:21PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Tgaming	
[4/17/23 04:28PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Tgaming	
[4/17/23 04:30PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Tgaming	
[4/17/23 04:31PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Tgaming	
[4/17/23 04:33PM] Player picked up item: Coin, id: 995, amount: 2279406, owner: Tgaming	
[4/17/23 04:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Tgaming	
[4/17/23 04:33PM] Player picked up item: Coin, id: 995, amount: 2336616, owner: Tgaming	
[4/17/23 04:33PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Tgaming	
[4/17/23 04:33PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Tgaming	
[4/17/23 04:33PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Tgaming	
[4/17/23 04:34PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Tgaming	
[4/17/23 04:34PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Tgaming	
[4/17/23 04:44PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Tgaming	
[4/17/23 04:44PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Tgaming	
[4/17/23 04:44PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Tgaming	
[4/17/23 04:44PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Tgaming	
[4/17/23 04:44PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Tgaming	
[4/17/23 04:45PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Tgaming	
[4/17/23 04:45PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Tgaming	
[4/17/23 06:55PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Tgaming	
[4/17/23 07:44PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Sharpy0123	
[4/17/23 07:44PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Sharpy0123	
[4/18/23 04:24PM] Player picked up item: Infinite prayer potion (T1), id: 23121, amount: 1, owner: Tgaming	
[4/19/23 05:06PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Asylum	
[4/19/23 05:23PM] Player picked up item: Infinite prayer potion (T1), id: 23121, amount: 1, owner: Tgaming	
