[4/19/23 11:34AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Monsou	
[4/19/23 01:21PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Monsou	
[4/19/23 01:21PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Monsou	
[4/19/23 01:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Monsou	
[4/19/23 01:23PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Monsou	
[4/19/23 01:25PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Monsou	
[4/19/23 01:26PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Monsou	
[4/19/23 01:36PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Monsou	
[4/19/23 01:37PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Monsou	
[4/19/23 01:43PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Monsou	
[4/19/23 01:45PM] Player picked up item: Coin, id: 995, amount: 1158487, owner: Monsou	
[4/19/23 01:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsou	
[4/19/23 01:53PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Monsou	
[4/19/23 01:54PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Monsou	
[4/19/23 01:54PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Monsou	
[4/19/23 01:57PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Monsou	
[4/19/23 01:58PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Monsou	
[4/19/23 02:05PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Monsou	
[4/19/23 02:05PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Monsou	
[4/19/23 02:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Monsou	
[4/19/23 02:15PM] Player picked up item: Coin, id: 995, amount: 1225063, owner: Monsou	
[4/19/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsou	
[4/19/23 02:16PM] Player picked up item: Coin, id: 995, amount: 3768298, owner: Monsou	
[4/19/23 02:16PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Monsou	
[4/20/23 10:32AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Monsou	
[4/20/23 10:32AM] Player picked up item: $10 Bond, id: 23057, amount: 1, owner: Monsou	
[4/20/23 10:36AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsou	
[4/20/23 10:38AM] Player picked up item: Coin, id: 995, amount: 1039966, owner: Monsou	
[4/20/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsou	
[4/20/23 10:40AM] Player picked up item: Coin, id: 995, amount: 4396058, owner: Monsou	
[4/20/23 10:40AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Monsou	
[4/20/23 10:41AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Monsou	
[4/20/23 10:44AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Monsou	
[4/20/23 10:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Monsou	
[4/20/23 10:45AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Monsou	
[4/20/23 10:45AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Monsou	
[4/20/23 10:47AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Monsou	
[4/20/23 10:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Monsou	
[4/20/23 10:48AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Monsou	
[4/20/23 10:48AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Monsou	
[4/20/23 10:51AM] Player picked up item: Coin, id: 995, amount: 1916254, owner: Monsou	
[4/20/23 10:51AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Monsou	
[4/20/23 10:55AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Monsou	
[4/20/23 10:55AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Monsou	
