[4/18/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Im A Potato	
[4/18/23 01:12PM] Player picked up item: Coin, id: 995, amount: 1228542, owner: Hc Pvm	
[4/18/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hc Pvm	
[4/18/23 01:14PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Hc Pvm	
[4/18/23 01:17PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Hc Pvm	
[4/18/23 01:18PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Hc Pvm	
[4/18/23 01:19PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Hc Pvm	
[4/18/23 01:19PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Hc Pvm	
[4/18/23 01:20PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Hc Pvm	
[4/18/23 01:26PM] Player picked up item: Coin, id: 995, amount: 5400, owner: Hc Pvm	
[4/18/23 01:27PM] Player picked up item: Coin, id: 995, amount: 6300, owner: Hc Pvm	
[4/18/23 01:35PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Hc Pvm	
[4/18/23 01:41PM] Player picked up item: Coin, id: 995, amount: 2277227, owner: Hc Pvm	
[4/18/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hc Pvm	
[4/18/23 01:41PM] Player picked up item: Aura (T6), id: 23049, amount: 1, owner: Hc Pvm	
[4/18/23 01:41PM] Player picked up item: Aura (T6), id: 23049, amount: 1, owner: Hc Pvm	
[4/18/23 01:42PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hc Pvm	
[4/18/23 01:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Hc Pvm	
[4/18/23 01:45PM] Player picked up item: Revenant whip, id: 18011, amount: 1, owner: Hc Pvm	
[4/18/23 01:45PM] Player picked up item: Revenant whip, id: 18011, amount: 1, owner: Hc Pvm	
[4/18/23 01:53PM] Player picked up item: Coin, id: 995, amount: 7500, owner: Hc Pvm	
[4/18/23 01:54PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Hc Pvm	
[4/18/23 01:55PM] Player picked up item: Coin, id: 995, amount: 7500, owner: Hc Pvm	
[4/18/23 01:59PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Hc Pvm	
[4/18/23 02:00PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Hc Pvm	
[4/18/23 02:16PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Hc Pvm	
[4/18/23 02:26PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Hc Pvm	
[4/18/23 02:26PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Hc Pvm	
[4/18/23 02:27PM] Player picked up item: Revenant Boots, id: 18009, amount: 1, owner: Hc Pvm	
[4/18/23 02:31PM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Hc Pvm	
[4/18/23 02:31PM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Hc Pvm	
[4/18/23 02:41PM] Player picked up item: Coin, id: 995, amount: 1215786, owner: Hc Pvm	
[4/18/23 02:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hc Pvm	
[4/18/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hc Pvm	
[4/18/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Hc Pvm	
[4/18/23 02:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hc Pvm	
[4/18/23 03:02PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Hc Pvm	
[4/18/23 03:02PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Hc Pvm	
[4/18/23 03:02PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Hc Pvm	
[4/18/23 03:03PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Hc Pvm	
[4/18/23 03:05PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Hc Pvm	
[4/18/23 03:12PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Hc Pvm	
[4/18/23 03:48PM] Player picked up item: Unknown Helm, id: 21042, amount: 1, owner: Like My Peep	
[4/18/23 03:49PM] Player picked up item: Gold Body, id: 11184, amount: 1, owner: Like My Peep	
[4/19/23 07:38PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Ao	
[4/19/23 07:38PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Ao	
[4/20/23 09:24AM] Player picked up item: Lava bones, id: 2023, amount: 840, owner: Hc Pvm	
[4/21/23 08:41AM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Forest	
