[4/17/23 08:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: The Kins	
[4/17/23 08:15AM] Player picked up item: Coin, id: 995, amount: 400, owner: The Kins	
[4/17/23 08:15AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: The Kins	
[4/17/23 08:15AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: The Kins	
[4/17/23 08:15AM] Player picked up item: Coin, id: 995, amount: 400, owner: The Kins	
[4/17/23 08:15AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: The Kins	
[4/17/23 08:16AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: The Kins	
[4/17/23 08:16AM] Player picked up item: Coin, id: 995, amount: 600, owner: The Kins	
[4/17/23 08:17AM] Player picked up item: Coin, id: 995, amount: 300, owner: The Kins	
[4/17/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: The Kins	
[4/17/23 08:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: The Kins	
[4/17/23 08:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:18AM] Player picked up item: Coin, id: 995, amount: 300, owner: The Kins	
[4/17/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 8, owner: The Kins	
[4/17/23 08:19AM] Player picked up item: Coin, id: 995, amount: 2700, owner: The Kins	
[4/17/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: The Kins	
[4/17/23 08:19AM] Player picked up item: Coin, id: 995, amount: 300, owner: The Kins	
[4/17/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: The Kins	
[4/17/23 08:19AM] Player picked up item: Coin, id: 995, amount: 300, owner: The Kins	
[4/17/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:20AM] Player picked up item: Coin, id: 995, amount: 1200, owner: The Kins	
[4/17/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: The Kins	
[4/17/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:20AM] Player picked up item: Coin, id: 995, amount: 1500, owner: The Kins	
[4/17/23 08:21AM] Player picked up item: Coin, id: 995, amount: 300, owner: The Kins	
[4/17/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: The Kins	
[4/17/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: The Kins	
[4/17/23 08:21AM] Player picked up item: Coin, id: 995, amount: 1200, owner: The Kins	
[4/17/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:22AM] Player picked up item: Coin, id: 995, amount: 300, owner: The Kins	
[4/17/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:25AM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: The Kins	
[4/17/23 08:25AM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: The Kins	
