[4/16/23 07:54PM] Player picked up item: Coin, id: 995, amount: 1301620, owner: Okmante	
[4/16/23 11:37PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Okmante	
[4/16/23 11:46PM] Player picked up item: Coin, id: 995, amount: 1667555, owner: Okmante	
[4/16/23 11:46PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Okmante	
[4/16/23 11:49PM] Player picked up item: Coin, id: 995, amount: 3970233, owner: Okmante	
[4/16/23 11:49PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Okmante	
[4/16/23 11:53PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Okmante	
[4/16/23 11:53PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Okmante	
[4/17/23 08:41AM] Player picked up item: Coin, id: 995, amount: 1335189, owner: Okmante	
[4/17/23 08:41AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Okmante	
[4/17/23 08:41AM] Player picked up item: Coin, id: 995, amount: 4101978, owner: Okmante	
[4/17/23 08:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Okmante	
[4/17/23 09:11AM] Player picked up item: Coin, id: 995, amount: 2421302, owner: Okmante	
[4/17/23 09:11AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Okmante	
[4/17/23 09:18AM] Player picked up item: Gold Cape, id: 11762, amount: 1, owner: Coke	
[4/17/23 09:22AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Okmante	
[4/17/23 09:22AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Okmante	
[4/17/23 09:23AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Okmante	
[4/17/23 09:23AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Okmante	
[4/17/23 09:23AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Okmante	
[4/17/23 09:25AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Okmante	
[4/17/23 09:28AM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Okmante	
[4/17/23 09:29AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Okmante	
[4/17/23 09:29AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Okmante	
[4/22/23 01:48PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Zaryte	
[4/22/23 04:08PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Okmante	
[4/22/23 09:27PM] Player picked up item: Groudon Shield, id: 13964, amount: 1, owner: Kinda Savage	
