[4/19/23 11:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Omen	
[4/19/23 12:15PM] Player picked up item: Coin, id: 995, amount: 1037513, owner: Omen	
[4/19/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Omen	
[4/19/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Omen	
[4/19/23 12:15PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Omen	
[4/19/23 12:17PM] Player picked up item: Coin, id: 995, amount: 4152156, owner: Omen	
[4/19/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Omen	
[4/19/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Omen	
[4/19/23 12:20PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Omen	
[4/19/23 12:45PM] Player picked up item: Coin, id: 995, amount: 1320546, owner: Omen	
[4/19/23 12:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Omen	
[4/19/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Omen	
[4/19/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Omen	
[4/19/23 01:14PM] Player picked up item: Coin, id: 995, amount: 1576744, owner: Omen	
[4/19/23 01:14PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Omen	
[4/19/23 01:15PM] Player picked up item: Coin, id: 995, amount: 2136952, owner: Omen	
[4/19/23 01:15PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Omen	
[4/19/23 01:16PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Omen	
[4/19/23 01:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Omen	
[4/19/23 01:21PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Omen	
[4/19/23 01:21PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Omen	
[4/19/23 01:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Omen	
[4/19/23 01:23PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Omen	
[4/19/23 01:33PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Omen	
[4/19/23 01:33PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Omen	
[4/19/23 01:33PM] Player picked up item: Coin, id: 995, amount: 14000, owner: Omen	
[4/19/23 01:45PM] Player picked up item: Coin, id: 995, amount: 2030319, owner: Omen	
[4/19/23 01:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Omen	
[4/19/23 02:05PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Omen	
[4/19/23 02:05PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Omen	
[4/19/23 02:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 02:15PM] Player picked up item: Coin, id: 995, amount: 1364349, owner: Omen	
[4/19/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Omen	
[4/20/23 05:21AM] Player picked up item: Coin, id: 995, amount: 2187637, owner: Omen	
[4/20/23 05:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Omen	
[4/20/23 05:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Omen	
[4/20/23 05:24AM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Omen	
[4/20/23 05:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Omen	
[4/20/23 05:48AM] Player picked up item: Coin, id: 995, amount: 23000, owner: Omen	
[4/20/23 05:48AM] Player picked up item: Coin, id: 995, amount: 23000, owner: Omen	
[4/20/23 05:48AM] Player picked up item: Coin, id: 995, amount: 23000, owner: Omen	
[4/20/23 05:48AM] Player picked up item: Coin, id: 995, amount: 23000, owner: Omen	
[4/20/23 05:52AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Omen	
[4/20/23 05:55AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Omen	
[4/20/23 05:55AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Omen	
[4/20/23 05:58AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Omen	
[4/20/23 05:58AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Omen	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Omen	
[4/20/23 06:00AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Omen	
