[4/18/23 09:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Coin, id: 995, amount: 300, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:24AM] Player picked up item: Coin, id: 995, amount: 300, owner: Al Faed	
[4/18/23 09:24AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Al Faed	
[4/18/23 09:24AM] Player picked up item: Coin, id: 995, amount: 300, owner: Al Faed	
[4/18/23 09:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:24AM] Player picked up item: Coin, id: 995, amount: 300, owner: Al Faed	
[4/18/23 09:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:24AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Al Faed	
[4/18/23 09:34AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Al Faed	
[4/18/23 09:35AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Al Faed	
[4/18/23 09:35AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Al Faed	
[4/18/23 09:35AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Al Faed	
[4/18/23 09:38AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Al Faed	
[4/18/23 09:38AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Al Faed	
[4/18/23 09:42AM] Player picked up item: Coin, id: 995, amount: 1095851, owner: Al Faed	
[4/18/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Al Faed	
[4/18/23 09:43AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Al Faed	
[4/18/23 09:43AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Al Faed	
[4/18/23 09:48AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Al Faed	
[4/18/23 09:48AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Al Faed	
[4/18/23 09:48AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Al Faed	
[4/20/23 04:50AM] Player picked up item: Coin, id: 995, amount: 4500, owner: Al Faed	
[4/20/23 04:50AM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Al Faed	
[4/20/23 04:55AM] Player picked up item: Revenant Legs, id: 18003, amount: 1, owner: Al Faed	
[4/20/23 05:10AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Al Faed	
[4/20/23 05:10AM] Player picked up item: Lava bones, id: 2023, amount: 10, owner: Al Faed	
[4/20/23 05:10AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Al Faed	
[4/20/23 05:10AM] Player picked up item: Lava bones, id: 2023, amount: 9, owner: Al Faed	
[4/20/23 05:10AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Al Faed	
[4/20/23 05:11AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Al Faed	
[4/20/23 05:11AM] Player picked up item: Lava bones, id: 2023, amount: 10, owner: Al Faed	
[4/20/23 05:11AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Al Faed	
[4/20/23 05:11AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Al Faed	
[4/20/23 05:11AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Al Faed	
[4/20/23 05:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/20/23 05:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/20/23 05:11AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Al Faed	
[4/20/23 05:11AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/20/23 05:12AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Al Faed	
[4/20/23 05:12AM] Player picked up item: Lava bones, id: 2023, amount: 12, owner: Al Faed	
[4/20/23 05:12AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Al Faed	
[4/20/23 05:12AM] Player picked up item: Lava bones, id: 2023, amount: 11, owner: Al Faed	
[4/20/23 05:13AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Al Faed	
[4/20/23 05:13AM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Al Faed	
[4/20/23 05:13AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Al Faed	
[4/20/23 05:13AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Al Faed	
[4/20/23 05:18AM] Player picked up item: Coin, id: 995, amount: 14000, owner: Al Faed	
[4/20/23 05:18AM] Player picked up item: Coin, id: 995, amount: 14000, owner: Al Faed	
[4/20/23 05:18AM] Player picked up item: Lava bones, id: 2023, amount: 12, owner: Al Faed	
[4/20/23 05:19AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Al Faed	
[4/20/23 05:21AM] Player picked up item: Coin, id: 995, amount: 1692528, owner: Al Faed	
[4/20/23 05:21AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Al Faed	
[4/20/23 05:25AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Al Faed	
[4/20/23 05:26AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Al Faed	
[4/20/23 05:27AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/21/23 04:31AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Al Faed	
[4/21/23 04:31AM] Player picked up item: Coin, id: 995, amount: 12000, owner: Al Faed	
[4/21/23 04:31AM] Player picked up item: Coin, id: 995, amount: 12000, owner: Al Faed	
[4/21/23 04:36AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Al Faed	
[4/21/23 04:38AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Al Faed	
[4/21/23 04:40AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Al Faed	
[4/21/23 04:40AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Al Faed	
[4/21/23 04:47AM] Player picked up item: Coin, id: 995, amount: 12000, owner: Al Faed	
[4/21/23 04:47AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Al Faed	
[4/21/23 04:48AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Al Faed	
[4/21/23 04:50AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Al Faed	
[4/21/23 04:51AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Al Faed	
[4/21/23 04:51AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Al Faed	
[4/21/23 04:51AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Al Faed	
[4/21/23 04:51AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Al Faed	
[4/21/23 04:52AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Al Faed	
[4/21/23 04:52AM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Al Faed	
