[4/15/23 02:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: T A C O	
[4/16/23 11:37AM] Player picked up item: Coin, id: 995, amount: 12000, owner: T A C O	
[4/16/23 11:44AM] Player picked up item: Coin, id: 995, amount: 9000, owner: T A C O	
[4/16/23 11:46AM] Player picked up item: Coin, id: 995, amount: 3000, owner: T A C O	
[4/16/23 11:50AM] Player picked up item: Coin, id: 995, amount: 6000, owner: T A C O	
[4/16/23 11:50AM] Player picked up item: Coin, id: 995, amount: 15000, owner: T A C O	
[4/16/23 11:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: T A C O	
[4/16/23 11:59AM] Player picked up item: Coin, id: 995, amount: 12000, owner: T A C O	
[4/16/23 12:02PM] Player picked up item: Coin, id: 995, amount: 8000, owner: T A C O	
[4/16/23 12:07PM] Player picked up item: Coin, id: 995, amount: 28000, owner: T A C O	
[4/16/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: T A C O	
[4/16/23 12:15PM] Player picked up item: Coin, id: 995, amount: 2000, owner: T A C O	
[4/16/23 12:22PM] Player picked up item: Coin, id: 995, amount: 2000, owner: T A C O	
[4/16/23 12:24PM] Player picked up item: Coin, id: 995, amount: 2481240, owner: T A C O	
[4/16/23 12:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: T A C O	
