[4/22/23 11:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 12:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 12:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:04PM] Player picked up item: Coin, id: 995, amount: 1165498, owner: S1n1	
[4/22/23 12:04PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: S1n1	
[4/22/23 12:04PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:04PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: S1n1	
[4/22/23 12:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:04PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:05PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:05PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:05PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:06PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:06PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:06PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:06PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:06PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: S1n1	
[4/22/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:10PM] Player picked up item: Coin, id: 995, amount: 3329008, owner: S1n1	
[4/22/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: S1n1	
[4/22/23 12:11PM] Player picked up item: Coin, id: 995, amount: 2288770, owner: S1n1	
[4/22/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: S1n1	
[4/22/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: S1n1	
[4/22/23 12:12PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: S1n1	
[4/22/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: S1n1	
[4/22/23 12:13PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: S1n1	
[4/22/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: S1n1	
[4/22/23 12:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: S1n1	
[4/22/23 12:14PM] Player picked up item: $10 Bond, id: 23057, amount: 1, owner: S1n1	
[4/22/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: S1n1	
[4/22/23 12:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: S1n1	
[4/22/23 12:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: S1n1	
