[4/22/23 03:07PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gon To Kill	
[4/22/23 03:18PM] Player picked up item: Coin, id: 995, amount: 400, owner: Gon To Kill	
[4/22/23 03:18PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:18PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:18PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:20PM] Player picked up item: Coin, id: 995, amount: 400, owner: Gon To Kill	
[4/22/23 03:20PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gon To Kill	
[4/22/23 03:20PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:21PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gon To Kill	
[4/22/23 03:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:21PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gon To Kill	
[4/22/23 03:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:22PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gon To Kill	
[4/22/23 03:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Gon To Kill	
[4/22/23 03:23PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Gon To Kill	
[4/22/23 03:31PM] Player picked up item: Coin, id: 995, amount: 900, owner: Gon To Kill	
[4/22/23 03:31PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Gon To Kill	
[4/22/23 03:32PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gon To Kill	
[4/22/23 03:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:32PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gon To Kill	
[4/22/23 03:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:33PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gon To Kill	
[4/22/23 03:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:34PM] Player picked up item: Coin, id: 995, amount: 2024790, owner: Gon To Kill	
[4/22/23 03:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Gon To Kill	
[4/22/23 03:35PM] Player picked up item: Coin, id: 995, amount: 2740500, owner: Gon To Kill	
[4/22/23 03:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Gon To Kill	
[4/22/23 03:42PM] Player picked up item: Coin, id: 995, amount: 900, owner: Gon To Kill	
[4/22/23 03:42PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Gon To Kill	
[4/22/23 03:42PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gon To Kill	
[4/22/23 03:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:42PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gon To Kill	
[4/22/23 03:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:43PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gon To Kill	
[4/22/23 03:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
