[4/22/23 05:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rozaro	
[4/22/23 06:31PM] Player picked up item: Coin, id: 995, amount: 600, owner: Rozaro	
[4/22/23 06:34PM] Player picked up item: Coin, id: 995, amount: 1940450, owner: Rozaro	
[4/22/23 06:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rozaro	
[4/22/23 06:41PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Rozaro	
[4/22/23 06:42PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Rozaro	
[4/22/23 06:42PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Rozaro	
[4/23/23 03:52AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Rozaro	
[4/23/23 03:54AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Rozaro	
[4/23/23 03:55AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Rozaro	
[4/23/23 03:55AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Rozaro	
[4/23/23 03:56AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Rozaro	
[4/23/23 03:56AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Rozaro	
[4/23/23 03:58AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Rozaro	
[4/23/23 04:13AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Rozaro	
[4/23/23 04:22AM] Player picked up item: Revenant Boots, id: 18009, amount: 1, owner: Rozaro	
[4/23/23 04:24AM] Player picked up item: Revenant Body, id: 18001, amount: 1, owner: Rozaro	
[4/23/23 04:32AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Rozaro	
[4/23/23 04:32AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Rozaro	
[4/23/23 04:32AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Rozaro	
[4/23/23 04:32AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Rozaro	
[4/23/23 04:39AM] Player picked up item: Mystic body, id: 23022, amount: 1, owner: Rozaro	
[4/23/23 04:40AM] Player picked up item: Mystic helm, id: 23021, amount: 1, owner: Rozaro	
[4/23/23 04:40AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Rozaro	
[4/23/23 04:40AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Rozaro	
[4/23/23 04:40AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Rozaro	
[4/23/23 04:40AM] Player picked up item: Coin, id: 995, amount: 7500, owner: Rozaro	
[4/23/23 04:40AM] Player picked up item: Coin, id: 995, amount: 12000, owner: Rozaro	
[4/23/23 04:41AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Rozaro	
[4/23/23 04:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/23/23 04:44AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Rozaro	
[4/23/23 04:46AM] Player picked up item: Mystic book, id: 23027, amount: 1, owner: Rozaro	
[4/23/23 04:49AM] Player picked up item: Mystic gloves, id: 23024, amount: 1, owner: Rozaro	
[4/23/23 04:52AM] Player picked up item: Coin, id: 995, amount: 4500, owner: Rozaro	
[4/23/23 05:03AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Rozaro	
[4/23/23 05:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/23/23 05:05AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rozaro	
[4/23/23 05:05AM] Player picked up item: Coin, id: 995, amount: 1186206, owner: Rozaro	
[4/23/23 05:11AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Rozaro	
[4/23/23 05:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rozaro	
[4/23/23 05:11AM] Player picked up item: Mystic staff, id: 23026, amount: 1, owner: Rozaro	
[4/23/23 05:12AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Rozaro	
[4/23/23 05:23AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Rozaro	
[4/23/23 05:24AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Rozaro	
[4/23/23 05:24AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Rozaro	
[4/23/23 05:29AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Rozaro	
[4/23/23 11:50AM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Bulba	
